Value,Condition,Language,Message
0,further/split,Chinese,hi
0,further/split,Chinese,接近地
0,further/split,Chinese,的颜色
0,further/split,Chinese,灰色？
0,equal/far,Chinese,？
0,further/split,Chinese,？
0,equal/far,Chinese,树的颜色
0,closer/close,Chinese,冷色
0,further/split,Chinese,草的颜色
0,equal/far,Chinese,肉桂
0,equal/far,Chinese,？
0,equal/far,Chinese,？
0,closer/close,Chinese,？
0,closer/close,Chinese,？
0,further/split,Chinese,？
0,further/split,Chinese,深色的血液
0,closer/close,Chinese,深海
0,further/split,Chinese,女士 高雅
0,equal/far,Chinese,龙
0,further/split,Chinese,土地
0,closer/close,Chinese,最深
0,further/split,Chinese,艳丽
0,further/split,Chinese,两种稍微深些
0,further/split,Chinese,暗些
0,equal/far,Chinese,土地
1,closer/close,Chinese,不同的
0,closer/close,Chinese,明亮
0,equal/far,Chinese,暗
0,closer/close,Chinese,两同色中暗些
0,closer/close,Chinese,深
0,equal/far,Chinese,暗些
0,equal/far,Chinese,大海
0,further/split,Chinese,中老年女
0,further/split,Chinese,土地
0,further/split,Chinese,明亮
0,closer/close,Chinese,暗色
0,equal/far,Chinese,基佬
0,further/split,Chinese,暗
0,closer/close,Chinese,暗
0,equal/far,Chinese,女士
0,further/split,Chinese,两色中明亮一些
0,equal/far,Chinese,大海
0,equal/far,Chinese,基佬
0,equal/far,Chinese,明亮
0,closer/close,Chinese,土地 深些
0,further/split,Chinese,中暗
0,closer/close,Chinese,暗色
0,equal/far,Chinese,女士
0,further/split,Chinese,两同色中暗些
0,further/split,Chinese,明亮树
0,closer/close,Chinese,树 暗些
0,closer/close,Chinese,土地
0,closer/close,Chinese,女士 明亮
0,further/split,Chinese,树 明亮些
0,equal/far,Chinese,天空
0,equal/far,Chinese,血液
0,closer/close,Chinese,大海
0,equal/far,Chinese,暗些
0,closer/close,Chinese,土地
0,equal/far,Chinese,橙子
0,closer/close,Chinese,最深
1,equal/far,Chinese,不是树，不是天空
0,equal/far,Chinese,浅海
0,further/split,Chinese,天空
0,further/split,Chinese,大海
0,closer/close,Chinese,最深的色
0,equal/far,Chinese,请描述。。。
1,equal/far,Chinese,仍然没看到任何描述。。。
0,closer/close,Chinese,演说者了解他/她的任务吗？
0,equal/far,Chinese,红色
0,further/split,Chinese,绿色
0,equal/far,Chinese,黄色
0,closer/close,Chinese,红绿灯的绿色
0,further/split,Chinese,红绿灯的绿色
0,equal/far,Chinese,红
1,further/split,Chinese,不是蓝色也不是粉红色的那个颜色
0,further/split,Chinese,猪肝色吗？
0,further/split,Chinese,哈哈是的
0,closer/close,Chinese,最接近黄色的那个
0,closer/close,Chinese,墨绿色
0,equal/far,Chinese,蓝色
0,further/split,Chinese,橙色
1,further/split,Chinese,不是紫色也不是灰色
0,closer/close,Chinese,最亮的红色
0,closer/close,Chinese,粉红色吗？
0,closer/close,Chinese,是的
0,equal/far,Chinese,灰色
0,further/split,Chinese,墨绿
0,further/split,Chinese,带青色或带蓝色？
0,further/split,Chinese,青色
0,equal/far,Chinese,深蓝色
0,further/split,Chinese,土黄色
0,further/split,Chinese,猪肝色
0,closer/close,Chinese,程度居中的绿色
0,further/split,Chinese,墨绿色
0,further/split,Chinese,土黄色
0,further/split,Chinese,黄色较浓吗？
0,further/split,Chinese,较淡
0,equal/far,Chinese,灰色
0,closer/close,Chinese,蓝灰色
0,equal/far,Chinese,墨绿色
0,closer/close,Chinese,紫色
0,closer/close,Chinese,带红色或带蓝色？
0,closer/close,Chinese,带蓝色
0,closer/close,Chinese,和上一题一样的颜色
0,further/split,Chinese,大红
0,further/split,Chinese,灰色
1,equal/far,Chinese,不是红色也不是蓝色
0,further/split,Chinese,墨绿色
0,equal/far,Chinese,灰色
0,closer/close,Chinese,猪肝
0,equal/far,Chinese,浅绿色
0,closer/close,Chinese,蓝绿色
0,closer/close,Chinese,蓝较多吗？
0,closer/close,Chinese,较少
0,further/split,Chinese,紫色
0,closer/close,Chinese,蓝色
0,equal/far,Chinese,黄色
0,equal/far,Chinese,绿色
0,closer/close,Chinese,黄色最少
0,further/split,Chinese,蓝色
0,equal/far,Chinese,红色
0,equal/far,Chinese,红色
0,further/split,Chinese,红色
0,closer/close,Chinese,黄
0,closer/close,Chinese,浅绿色
0,further/split,Chinese,蓝色
0,closer/close,Chinese,粉红
0,closer/close,Chinese,深一点的蓝色
0,further/split,Chinese,紫色
0,further/split,Chinese,灰绿色
0,equal/far,Chinese,灰色
0,equal/far,Chinese,绿色
0,closer/close,Chinese,灰黄色
0,equal/far,Chinese,紫色
0,closer/close,Chinese,暗粉色
0,closer/close,Chinese,亮
0,closer/close,Chinese,红色
0,further/split,Chinese,金黄色
0,closer/close,Chinese,暗粉色
0,closer/close,Chinese,暗粉红色吗
0,closer/close,Chinese,是
0,further/split,Chinese,黄色
0,further/split,Chinese,紫色
0,equal/far,Chinese,绿色
0,equal/far,Chinese,天蓝色
0,further/split,Chinese,浅绿色
0,further/split,Chinese,蓝紫色
0,closer/close,Chinese,绿色
0,equal/far,Chinese,绿色
0,closer/close,Chinese,黄灰色
0,equal/far,Chinese,紫色
0,further/split,Chinese,灰色
0,equal/far,Chinese,灰色
0,further/split,Chinese,土黄色
0,further/split,Chinese,重点是土吗？
0,further/split,Chinese,泥黄色
0,closer/close,Chinese,最亮的绿色
0,further/split,Chinese,红色
0,equal/far,Chinese,紫色
0,equal/far,Chinese,绿色
0,equal/far,Chinese,土黃色
0,further/split,Chinese,绿色
0,further/split,Chinese,天蓝色
0,further/split,Chinese,紫色
0,further/split,Chinese,金秋色
0,further/split,Chinese,秋天落叶吗？
0,further/split,Chinese,紫色
0,closer/close,Chinese,亮粉色
0,closer/close,Chinese,蓝色
0,equal/far,Chinese,绿色
0,closer/close,Chinese,粉蓝色
0,closer/close,Chinese,灰蓝色
0,closer/close,Chinese,黄绿色
0,equal/far,Chinese,灰色
0,equal/far,Chinese,黄色
0,closer/close,Chinese,灰黄色
0,closer/close,Chinese,亮绿色
0,further/split,Chinese,黄色
0,further/split,Chinese,灰色
0,closer/close,Chinese,深蓝色
0,closer/close,Chinese,黃色
0,equal/far,Chinese,灰色
0,equal/far,Chinese,灰色
0,further/split,Chinese,你好
0,further/split,Chinese,！
0,further/split,Chinese,你好！
0,further/split,Chinese,要选哪一个？
0,further/split,Chinese,淡粉色
0,further/split,Chinese,:D
0,further/split,Chinese,深棕色
0,equal/far,Chinese,浅绿色
0,further/split,Chinese,深灰色
0,closer/close,Chinese,蓝绿色
0,closer/close,Chinese,。。。。
0,closer/close,Chinese,哈
0,closer/close,Chinese,紫色
0,equal/far,Chinese,亮绿色
0,equal/far,Chinese,？
0,equal/far,Chinese,深绿色
0,equal/far,Chinese,。。。
0,equal/far,Chinese,看起来是蓝色吧
0,closer/close,Chinese,紫色
0,closer/close,Chinese,深的？
0,closer/close,Chinese,中间的
1,closer/close,Chinese,不是粉色
0,equal/far,Chinese,黄
0,equal/far,Chinese,lol
0,equal/far,Chinese,绿
0,equal/far,Chinese,粉
0,further/split,Chinese,深蓝
0,further/split,Chinese,亮蓝
0,closer/close,Chinese,哎呀
0,closer/close,Chinese,。。
0,closer/close,Chinese,深蓝
0,closer/close,Chinese,草绿
0,equal/far,Chinese,粉色
0,closer/close,Chinese,黄绿色
0,further/split,Chinese,粉色
0,equal/far,Chinese,亮蓝
0,further/split,Chinese,深灰色
0,equal/far,Chinese,深紫色
0,closer/close,Chinese,蓝色
0,equal/far,Chinese,墨绿
0,closer/close,Chinese,灰色
0,further/split,Chinese,红
0,equal/far,Chinese,接近皮肤颜色
0,further/split,Chinese,青草
0,closer/close,Chinese,浪漫的颜色
0,equal/far,Chinese,秋天的草色
