,gameid,epochTime,roundNum,sender,contents,raw_lengths,z_scores
75,1335-1ca93459-779e-4930-a18c-6077a00ed72b,1501097569223,0,演说者,我已经等待了将近25分钟了，我应该怎么办？,59,5.60964110003
86,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120955903,10,演说者,不是蓝色也不是粉红色的那个颜色,45,4.01108054581
374,8444-6d997204-8828-40b7-bbf6-c0645a0cbd0d,1501303782290,1,演说者,我这边没有荧幕出来！下面还写着“等待另一人连接。。。”,81,8.12166482808
377,8444-6d997204-8828-40b7-bbf6-c0645a0cbd0d,1501303900763,1,倾听者,其实我是这饰演的经历。你的workerID是什么？我会帮你赔偿,77,7.66493324116
392,5868-39a69aa5-b3d0-4893-9448-65f97cc6fc60,1501422538798,3,倾听者,我这边有两个绿色，是不是更亮一点的那个?,58,5.4954582033
489,7088-659baa26-46e1-4ff5-86e3-c31fe4ba4bab,1501607953690,1,演说者,在两个比较接近的颜色中深色的那一个,51,4.69617792619
630,4286-9e734173-eddb-47a8-b78f-bad48cfe5449,1502072401471,3,演说者,这是一个大多数女生都喜欢的可爱的颜色,54,5.03872661638
634,4286-9e734173-eddb-47a8-b78f-bad48cfe5449,1502072573964,6,演说者,这个颜色在你所看到的三个颜色里最亮,51,4.69617792619
635,4286-9e734173-eddb-47a8-b78f-bad48cfe5449,1502072630047,7,演说者,你会看到两种特别接近的大地色， 相比之下深一些的颜色是你应该选的,94,9.60604248556
636,4286-9e734173-eddb-47a8-b78f-bad48cfe5449,1502072695597,8,演说者,两种颜色相近的大地色， 选择有一些微黄的颜色,64,6.18055558368
674,4286-9e734173-eddb-47a8-b78f-bad48cfe5449,1502073476029,31,演说者,两个绿色，你要选的是那个有提亮的绿色,54,5.03872661638
680,4286-9e734173-eddb-47a8-b78f-bad48cfe5449,1502073623244,33,演说者,不是橘色 也不是那个带橘红的土色,46,4.12526344254
903,3788-192abb49-7bda-42f2-bc4b-f5b2edf1b011,1502246062410,25,倾听者,有两种偏红的棕色，是比较深还是比较浅的那个？,67,6.52310427386
971,4304-0a6471c9-b6e3-4df3-9257-13c0310185d6,1502253371070,19,倾听者,感觉快到五十度灰色了。。。。。。。,51,4.69617792619
1284,3842-59433277-9f89-4c62-912e-6a1736577c31,1502376389462,7,倾听者,我不是 如果有地方不明白请见谅 哈哈哈,53,4.92454371965
1286,3842-59433277-9f89-4c62-912e-6a1736577c31,1502376422978,8,演说者,没关系，我会尽量用最极端最简单的方式描述颜色,66,6.40892137713
1321,3842-59433277-9f89-4c62-912e-6a1736577c31,1502376893455,23,演说者,肯定各种人工智能，和语言沟通有关,48,4.353629236
1322,3842-59433277-9f89-4c62-912e-6a1736577c31,1502376914275,23,倾听者,看见我们说有的没的烦死了哈哈哈哈,48,4.353629236
1336,3842-59433277-9f89-4c62-912e-6a1736577c31,1502377071734,23,倾听者,其实很快的吧我们就一直玩吧哈哈哈,48,4.353629236
