superlative,Condition,Language,Message
False,further/split,Chinese,hi
False,further/split,Chinese,接近地
False,further/split,Chinese,的颜色
False,further/split,Chinese,灰色？
False,equal/far,Chinese,？
False,further/split,Chinese,？
False,equal/far,Chinese,树的颜色
False,closer/close,Chinese,冷色
False,further/split,Chinese,草的颜色
False,equal/far,Chinese,肉桂
False,equal/far,Chinese,？
False,equal/far,Chinese,？
False,closer/close,Chinese,？
False,closer/close,Chinese,？
False,further/split,Chinese,？
False,further/split,Chinese,深色的血液
False,closer/close,Chinese,深海
False,further/split,Chinese,女士 高雅
False,equal/far,Chinese,龙
False,further/split,Chinese,土地
True,closer/close,Chinese,最深
False,further/split,Chinese,艳丽
False,further/split,Chinese,两种稍微深些
False,further/split,Chinese,暗些
False,equal/far,Chinese,土地
False,closer/close,Chinese,不同的
False,closer/close,Chinese,明亮
False,equal/far,Chinese,暗
False,closer/close,Chinese,两同色中暗些
False,closer/close,Chinese,深
False,equal/far,Chinese,暗些
False,equal/far,Chinese,大海
False,further/split,Chinese,中老年女
False,further/split,Chinese,土地
False,further/split,Chinese,明亮
False,closer/close,Chinese,暗色
False,equal/far,Chinese,基佬
False,further/split,Chinese,暗
False,closer/close,Chinese,暗
False,equal/far,Chinese,女士
False,further/split,Chinese,两色中明亮一些
False,equal/far,Chinese,大海
False,equal/far,Chinese,基佬
False,equal/far,Chinese,明亮
False,closer/close,Chinese,土地 深些
False,further/split,Chinese,中暗
False,closer/close,Chinese,暗色
False,equal/far,Chinese,女士
False,further/split,Chinese,两同色中暗些
False,further/split,Chinese,明亮树
False,closer/close,Chinese,树 暗些
False,closer/close,Chinese,土地
False,closer/close,Chinese,女士 明亮
False,further/split,Chinese,树 明亮些
False,equal/far,Chinese,天空
False,equal/far,Chinese,血液
False,closer/close,Chinese,大海
False,equal/far,Chinese,暗些
False,closer/close,Chinese,土地
False,equal/far,Chinese,橙子
True,closer/close,Chinese,最深
False,equal/far,Chinese,不是树，不是天空
False,equal/far,Chinese,浅海
False,further/split,Chinese,天空
False,further/split,Chinese,大海
True,closer/close,Chinese,最深的色
False,equal/far,Chinese,请描述。。。
False,equal/far,Chinese,仍然没看到任何描述。。。
False,closer/close,Chinese,演说者了解他/她的任务吗？
False,equal/far,Chinese,红色
False,further/split,Chinese,绿色
False,equal/far,Chinese,黄色
False,closer/close,Chinese,红绿灯的绿色
False,further/split,Chinese,红绿灯的绿色
False,equal/far,Chinese,红
False,further/split,Chinese,不是蓝色也不是粉红色的那个颜色
False,further/split,Chinese,猪肝色吗？
False,further/split,Chinese,哈哈是的
True,closer/close,Chinese,最接近黄色的那个
False,closer/close,Chinese,墨绿色
False,equal/far,Chinese,蓝色
False,further/split,Chinese,橙色
False,further/split,Chinese,不是紫色也不是灰色
True,closer/close,Chinese,最亮的红色
False,closer/close,Chinese,粉红色吗？
False,closer/close,Chinese,是的
False,equal/far,Chinese,灰色
False,further/split,Chinese,墨绿
False,further/split,Chinese,带青色或带蓝色？
False,further/split,Chinese,青色
False,equal/far,Chinese,深蓝色
False,further/split,Chinese,土黄色
False,further/split,Chinese,猪肝色
False,closer/close,Chinese,程度居中的绿色
False,further/split,Chinese,墨绿色
False,further/split,Chinese,土黄色
False,further/split,Chinese,黄色较浓吗？
False,further/split,Chinese,较淡
False,equal/far,Chinese,灰色
False,closer/close,Chinese,蓝灰色
False,equal/far,Chinese,墨绿色
False,closer/close,Chinese,紫色
False,closer/close,Chinese,带红色或带蓝色？
False,closer/close,Chinese,带蓝色
False,closer/close,Chinese,和上一题一样的颜色
